id,image_rel,image_path,prompt,clip_sim
000000000000,0_random_140/000000000000.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000000.jpg,a slanted [rusty] mountain bicycle on the road in front of a building,0.26843446493148804
000000000001,0_random_140/000000000001.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000001.jpg,a [square] cake with orange frosting on a wooden plate,0.2804667055606842
000000000002,0_random_140/000000000002.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000002.jpg,a [dog] sitting on a wooden chair,0.27494797110557556
000000000003,0_random_140/000000000003.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000003.jpg,"blue light, a black and white [dog] is playing with a flower",0.2858063578605652
000000000004,0_random_140/000000000004.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000004.jpg,a [silver] cat [sculpture] sitting next to a mirror,0.2943042516708374
000000000005,0_random_140/000000000005.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000005.jpg,an [black] cat sitting on top of a fence,0.23208747804164886
000000000006,0_random_140/000000000006.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000006.jpg,a cup of coffee with drawing of [lion] putted on the wooden table,0.3225802779197693
000000000007,0_random_140/000000000007.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000007.jpg,a german shepherd dog stands on the grass with mouth [opened],0.28051185607910156
000000000008,0_random_140/000000000008.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000008.jpg,a golden retriever sitting on the ground in front of fence,0.2700617015361786
000000000009,0_random_140/000000000009.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000009.jpg,a [lion] is laying down on a white background,0.24337762594223022
000000000010,0_random_140/000000000010.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000010.jpg,photo of a [horse] and a cat standing on rocks near the ocean,0.25375837087631226
000000000011,0_random_140/000000000011.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000011.jpg,a [red] bird standing on a branch,0.2699914276599884
000000000012,0_random_140/000000000012.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000012.jpg,meat [sushi] on white plate,0.19191908836364746
000000000013,0_random_140/000000000013.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000013.jpg,three white [sushi] on brown bowl,0.21528370678424835
000000000014,0_random_140/000000000014.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000014.jpg,a man with his hands [rasing] standing by a house,0.19756750762462616
000000000015,0_random_140/000000000015.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000015.jpg,white plate with [pizza] on it,0.23006924986839294
000000000016,0_random_140/000000000016.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000016.jpg,a plate with [salmon] on it,0.236076220870018
000000000017,0_random_140/000000000017.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000017.jpg,photo of a statue [in side view],0.2394913136959076
000000000018,0_random_140/000000000018.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000018.jpg,the statue of liberty holding a [flower],0.27103081345558167
000000000019,0_random_140/000000000019.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000019.jpg,white [cat] on brown ground,0.2595587968826294
000000000020,0_random_140/000000000020.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000020.jpg,two [origami] birds sitting on a branch,0.292533814907074
000000000021,0_random_140/000000000021.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000021.jpg,"two [kissing] parrots sitting on a stick, city street background",0.2669668197631836
000000000022,0_random_140/000000000022.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000022.jpg,an orange van with [flowers] on top,0.22343656420707703
000000000023,0_random_140/000000000023.jpg,/home/hemiao/KV-Edit/outputs_pie_0_8/0_random_140/000000000023.jpg,a [white] horse in the field,0.27787455916404724
